Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
IT OFFICER,PT Temprina Media Grafika,Gresik,"Rp5,000,000 – Rp6,500,000 per month",Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,1 jam yang lalu,Full time,"Kualifikasi :Diploma/Sarjana/Magister Jurusan Sistem Informasi, Teknik InformatikaMemiliki pengalaman dibidangnya minimal 1 tahunMahir HTML,CSS,Javascript, Pemrograman PHPBerpengalaman menggunakan CSS PreprocessorsBerpengalaman menggunakan CSS FrameworkBerpengalaman menggunakan Javascript FrameworkBerpengalaman menggunakan Front End Development ToolsBerpengalaman menggunakan GITMahir menggunakan Browser Development ToolsMahir dalam pengembangan website kompatibel antar browser dan mobile friendlyMemahami jaringanTanggung Jawab dan Wewenang :Memenuhi kebutuhan user dan perusahaanPemecahan masalah atau troubleshouting Melakukan koordinasi kebutuhan pengembangan sistem disetiap departemenMelakukan pelaporan hasil kerja dan pencapaian kepada Manager IT",https://www.jobstreet.co.id/id/job/74409733?type=standard&ref=search-standalone
Staff Import,PT Mazta Farma,Kalideres,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,15 jam yang lalu,Full time,"Kualifikasi:

Usia max. 30 tahun
Pendidikan D3/S1 semua jurusan
Min. 1 tahun pengalaman di bidangnya
Jujur, disiplin, teliti, detail, akurat, dan bertanggung jawab
Memiliki kemampuan komunikasi dan bernegosiasi yang baik (diutamakan bisa berbahasa inggris)
Mahir menggunakan komputer (terutama Ms. Excel, Word, dan Outlook)
Mampu mengelola dokumen untuk diarsipkan
Mengetahui alur atau proses dalam importase


Jobdesk:

Menginput dan membuat analisa terkait data stok produk
Membuat usulan dana pembelian produk
Berkoordinasi dengan Dept. Finance terkait pembayaran produk
Berkoordinasi dengan Pihak Eksternal (Supplier/Principal, Fowarder, dll) terkait proses pembelian produk hingga sampai ke Gudang
Mengontrol dan monitoring proses pengiriman produk hingga sampai ke Gudang
Menyiapkan dokumen yang dibutuhkan dalam rangka proses importase
Melakukan proses importase seperti Inspeksi KSO, SKI BPOM, dan Bea Cukai
Melakukan random checking saat produk tiba di Gudang
Mengajukan complain ke Pihak Eksternal (Supplier/Principal, Forwarder, dll) jika terdapat produk yang tidak sesuai, baik secara kualitas dan kondisi produk

Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/74400323?type=standard&ref=search-standalone
CIMB Preferred Development Program (CPDP) - Tasikmalaya,PT CIMB Niaga Tbk,Tasikmalaya,,Perbankan & Layanan Finansial,Perencanaan Keuangan,,1 jam yang lalu,Full time,"To grooms talented sales officers that specifically trained and develop to become a great sales officers complete with the necessary skill, knowledge and attitude. Candidate’s Requirements :Bachelor degree any major with GPA minimal ≥ 3.0Age maximal 26 years oldActive English (Oral and Written)Able to work under pressuresDemonstrate the following qualities: agile, persistence, self-driven, highly motivated, energetic, good interpersonal skill, has interest to pursue career in Sales, good analytical thinking and strategic thinking.Minimal 1 year experience as sales/ marketing in banking or financial industry",https://www.jobstreet.co.id/id/job/74409274?type=standard&ref=search-standalone
PERSONAL ASSISTANT,,Tangerang,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,20 jam yang lalu,Full time,"Main Responsibilities:Arrange Schedule (meeting, interview, personal appointments). Able to organize complex calendars and schedules including to coordinate with other Personal Assistants / Secretaries for meeting arrangement with another High-Level Associates (Directors, Board of Director, etc.).Arrange Travel Needs from preparation, before departure and after (if need special arrangement).Prepare daily things for VP when working at the Office.Arrange Personal Things.Maintain various records and documents for VP.Maintain confidentiality of highly sensitive information.Ability to function well in a high-paced environment; performs additional duties as assigned by VP.Job Requirements :Candidate must possess at least Bachelor’s Degree in any field from reputable University (overseas graduates are welcome to apply).At least 2 years of working experience in Secretarial/Executive and Personal Assistant or equivalent.Preferred required language English.Excellent interpersonal, impressive appearance, good communication, self-motivated, strong interpersonal skills and the ability to build good relationship with key stakeholders.",https://www.jobstreet.co.id/id/job/74390255?type=standard&ref=search-standalone
Administrasi,PT. Sasri Utama Wisata,Modung,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,15 jam yang lalu,Full time,"Bisa Bekerja secara individu atau Bekerja secara kelompok
Bisa menggunakan Komputer dengan baik (word Excel)
Bertanggung Jawab dengan Pekerjaan nya
Suka dengan Hal Hal Baru
Suka dengan Tantangan 
Bekerja dengan Teliti
Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi


Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Kartu izin tinggal dapat diberikan untuk posisi ini
Tanggal mulai kerja: 20 March 2024
Gaji yang diinginkan: Rp2,000,000 - Rp10,000,000 per bulan",https://www.jobstreet.co.id/id/job/74400161?type=standard&ref=search-standalone
Accounting & finance,PT Alpha Komputindo Sejahtera,Jakarta Pusat,Rp5.333.333 – Rp7.000.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,21 jam yang lalu,Full time,"Qualifications & experienceGelar Sarjana di bidang Akuntansi, Keuangan, atau bidang terkait.
Pengalaman kerja dalam bidang keuangan, pajak, dan pembelian akan menjadi nilai tambah.
Memiliki pengetahuan yang kuat tentang peraturan perpajakan dan akuntansi.
Kemampuan komunikasi yang baik dan dapat bekerja sama dengan berbagai departemen.
Teliti, cermat, dan memiliki kemampuan organisasi yang baik.
Mahir dalam menggunakan perangkat lunak akuntansi dan aplikasi pembelian.
Lulusan baru atau yang berpengalaman dipersilakan untuk melamar.Bisa mengoperasikan Aplikasi Accurate akan menjadi nilai tambah.Tasks & responsibilitiesMelakukan proses pengelolaan keuangan harian, termasuk pembayaran, penerimaan, dan pencatatan jurnal.
Menangani pelaporan keuangan bulanan dan tahunan sesuai standar akuntansi yang berlaku.
Memastikan ketaatan perusahaan terhadap regulasi perpajakan dan menangani pengajuan dan pembayaran pajak.
Bertanggung jawab atas proses pembelian barang, termasuk negosiasi harga, pengadaan, dan pengelolaan stok.
Menangani administrasi pembelian, termasuk pemrosesan pesanan dan koordinasi dengan pemasok.
Mem-back up pekerjaan sales admin sewaktu waktu jika diperlukan.
BenefitsTHR 1 x gaji setiap tahun
Bonus akhir tahun berdasarkan penilaian atas kinerja karyawan.",https://www.jobstreet.co.id/id/job/74387750?type=standout&ref=search-standalone
Admin Perpajakan,,Kabupaten Tangerang,Rp4.500.000 – Rp5.500.000 per month,Akuntansi,Perpajakan,,552024-03-13,Full time,"Sebuah perusahaan importir alat teknik membutuhkan segera personil untuk posisi Administrasi Perpajakan dengan kualifikasi sebagai berikut : Pria/Wanita, usia maksimal 40 tahun.Pendidikan minimal SMK / sederajat ( lebih disukai yang S1 Akuntansi )Berpengalaman min. 2 tahun di bidang perpajakan.Mengerti prosedur,penghitungan dan penerbitan Pph dan PPn.",https://www.jobstreet.co.id/id/job/74410570?type=standard&ref=search-standalone
Ecommerce Supervisor,PT. Prima Bersama Berkat,Jakarta Raya,"Rp12,000,000 – Rp18,000,000 per month",Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-11,Full time,"Responsibilities:Responsible for building positive interactions and relationships with each platform.    Work with sales targets, take the initiative to develop sales on each platform. Continuously improve operational strategies, increase traffic and sales, prepare campaign, and complete annual and monthly sales tasks.Analyze the market and competitor conditions, formulate promotion plans and sales strategies. Be familiar with promotion/traffic tools in and out-site.Guiding the team to complete settings, guiding the team to optimizing product information\decoration and so on. Be responsible for the correctness and effectiveness of store setting.   Responsible for managing and monitoring all activities running on each platform. Analysis sales, inventory, logistic data, make suggestions in adjusting sales strategy and campaign activity.    Coordinate with other departments such as marketing team, logistic team, and product team.    Responsible for store decoration in coordination with the Creative team.   Prepare estimates of stock requirements.    Prepare reports required by the Ecommerce director    Fluent in English, be able to use English for daily communication and document preparation    EC team building, being able to value each member work and give motivation.    Other requirements by director    Requirements:Minimum education S1 or equivalent. At least 2 years working experience as team supervisor. And 5 years working experence in e-commerce. Willing to work outside working hours and at night during mega campaigns.   Can operate computer and master Excel well, be mastered in google sheet. Be able to do data visualization is preferrable.    Thorough and has good communication skills, can work with team. Outgoing and creative.    Master in data processing, good sense for sales data.    Must be fluent in English. Mandarin speaking is preferrable.    Have experience working on an e-commerce enabler is preferrable.    Target and KPI oriented, self-driven.    Being able to handle multi-tasks and work with pressure.    Eager to learn and get in touch with new things    Has platform resources/brands resources/agent resources is preferrable.",https://www.jobstreet.co.id/id/job/74353924?type=standout&ref=search-standalone
Waiter/Waitress,Libra Food Service,Jakarta Barat,"Rp2,500,000 – Rp3,750,000 per month",Hospitaliti & Pariwisata,Pelayan,,18 jam yang lalu,Full time,"Requirements: · Age max 35 years· Strong leadership, good communication & service skill· Hard working, honest, and have a good manner· At least 2 years of relevant working experience in Food & Beverage field· Required to working weekend and Public holiday· Passionate in Food & Beverage field· Computer literate",https://www.jobstreet.co.id/id/job/74392973?type=standard&ref=search-standalone
ADMINISTRASI SERVER,PT. BEKAMI,Yogyakarta,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,15 jam yang lalu,Full time,"PT. Berkah Barokah Bersama Ibu (Bekami) bergerak dibidang telekomunikasi yang bekerjasama dengan berbagai macam provider operator mencari kandidat terbaik untuk bergabung bekerja bersama kami
KUALIFIKASI


• Usia minimal 18 tahun dan maksimal 34 tahun
• Pendidikan min. SMA Sederajat
• Fresh Graduate are welcome
• Berpengalaman min. 1 tahun
• Menguasai Ms.Office, terutama paham menggunakan Ms.excel ( rumus-rumus, vlookup,hlookup)
• Berpengalaman menggunakan google sheet dan excel.
• Mempunyai ketelitian dalam mengolah data.
• Mampu menyajikan summary report dari data.

BENEFIT:


1. Upah UMR
2. Tunjangan Kesehatan dan Ketenagakerjaan
3. THR
4. Teman-teman yang asik

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore
Sabtu: Pagi, Siang, Sore
Minggu: Pagi, Siang, Sore


Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Kartu izin tinggal dapat diberikan untuk posisi ini
Tanggal mulai kerja: 26 March 2024
Gaji yang diinginkan: Rp2,495,000 per bulan",https://www.jobstreet.co.id/id/job/74399713?type=standard&ref=search-standalone
Penerjemah,PT.ANNVEL TECH INT,Kabupaten Tangerang,Rp7.000.000 – Rp10.000.000 per month,Administrasi & Dukungan Perkantoran,Asisten Administratif,,23 jam yang lalu,Kasual,"About uskita bergerak dibidang onlineshop dan sedang mencari kandidat penerjemah mandarinQualifications & experiencebisa bicara , baca , tulis, dengar mandarinTasks & responsibilitiespenerjemah mandarinBenefitsbonus",https://www.jobstreet.co.id/id/job/74384889?type=standard&ref=search-standalone
Staf Administrasi,PT Sari Husada Bhakti,Jakarta Selatan,,Administrasi & Dukungan Perkantoran,Asisten Administratif,"Gaji Pokok dan Tunjangan Kompetitif, BPJS Kesehatan dan BPJS Ketenagakerjaan, THR",2024-03-09,Full time,"Kualifikasi:Usia maksimal 30 tahun.Pendidikan minimal S1 Semua JurusanBerpengalaman menjadi staf administrasi di bidang Pendidikan (Perguruan Tinggi).Memiliki kejujuran, bertanggung jawab, rapi, teliti dan tekun.Mampu kemampuan interpersonal dan komunikasi yang baik.Menguasai microsoft office dan power pointMemiliki keterampilan administrasi yang baikMemiliki kemampuan presentasi yang baik.Penempatan di ABK PMI Jakarta SelatanDomisili DKI Jakarta diutamakan Job Des: Melakukan penataan dan pengarsipan dokumen yang rapi dan berturut.Membantu pekerjaan-pekerjaan administrasi harian, mingguan dan bulanan.Membantu pengurusan berbagai perizinan operasional perguruan tinggi.Membantu administrasi BPJS Kesehatan dan BPJS ketenagakerjaan.Melaksanakan tugas-tugas lain yang diberikan oleh pimpinan.Memegang teguh rahasia jabatan",https://www.jobstreet.co.id/id/job/74317216?type=standout&ref=search-standalone
SCHOOL SECRETARY,PT Pendidikan Bintang Fajar Indonesia,Jakarta Utara,,Administrasi & Dukungan Perkantoran,Asisten Administratif,"Dynamic and growing learning environment, Strong Character Building, Vigorous teamwork",19 jam yang lalu,Full time,"Teach Indonesia School is a Character-building and Biblical-based located in North Jakarta. In welcoming new academic year 2024/2025, we are seeking a competent, reliable and organized School Secretary to join our administrative team. The School Secretary plays a vital role in providing administrative support to ensure the efficient operation of the school office and the overall success of our educational community. Responsibilities:Coordinate schedules and appointments for Principals, school administrators and staff.Manage incoming and outgoing mail and correspondence.Assist with the overall class timetables, preparation of reports, letters, and other documents as needed.Maintain accurate student records, including attendance, enrollment, and health information.Assist with the registration process for new students and maintain updated student files.Maintain inventory of office supplies and place orders as necessary.Provide support during school events, meetings, and other activities as requested.Uphold confidentiality and privacy standards in handling information and privacy.Assist other necessary school’s administrative and secretarial workAssist and maintain school-parents’ needs and relationship. Requirements:Bachelor degree in Administration/Communication or related fieldAge 27 – 35 years oldProven experience in an administrative role, preferably in an educational setting.Proficiency in Microsoft Office and Google suite (Word, Excel, Outlook, Google Workspace).Excellent organizational and time management skills.Strong communication and interpersonal skills.Ability to multitask and prioritize tasks in a fast-paced environment.Attention to detail and accuracy in data entry and record-keeping.Knowledge of office equipment and procedures.Capable to work both in team and individuallyGood record of conduct, attitude and characterGood record of healthPreferably resides in North Jakarta (Kelapa Gading, Sunter and surrounding areas) If you have  the above qualifications and are passionate to contribute and impact young generations, please send your CV and credentials to us.Thank you.",https://www.jobstreet.co.id/id/job/74391969?type=standout&ref=search-standalone
EXPORT IMPORT STAFF,PT Sakata Inx Indonesia,Jakarta Utara,"Rp7,000,000 – Rp9,000,000 per month","Manufaktur, Transportasi & Logistik",Impor/Ekspor & Pabean,,22 jam yang lalu,Full time,"About usPT. SAKATA INX INDONESIA is a printing ink company which is one of SAKATA INX CORPORATION’s subsidiaries.

Qualifications & experienceBachelor's degree in any major (economy, logistics, or management)Having experience in EXIM, Forwarding, Custom Clearance & Import Documents at least 3 years with age maximum 30 years old.Must be Fluent in English Computer knowledge of Microsoft Office programs and Familiar with SAP systemsDetail-oriented, Loyal, Honest Responsible and Disciplined with
Strong interpersonal skills, adaptability and Can work Individual or with teamJakarta Utara or Jakarta Barat domicile will be more consideredTasks & responsibilitiesResponsible for all export and import activities in accordance with applicable government regulations and Understand export and import procedures and regulations.Arrange and checking shipping schedules and all documents with forwardersArrange EXIM insurance and make sure all incoming or outgoing goods are deliver or receipt on scheduled",https://www.jobstreet.co.id/id/job/74386416?type=standout&ref=search-standalone
