Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
accounting officer,"PT Bank IBK Indonesia, Tbk",Jakarta Raya,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74116389?type=standout&ref=search-standalone,74116389,Other
account executive - specialist corporate and b2b account,PT Omala Management Indonesia,Jakarta Selatan,Rp5.300.000 – Rp6.500.000 per month,Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74127265?type=standout&ref=search-standalone,74127265,PHP
technical consultant,Hand International Pte. Ltd.,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Konsultan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74088313?type=standout&ref=search-standalone,74088313,Other
system and network administrator (hybrid working),PT Profescipta Wahanatehnik,Jakarta Timur,"Rp7,000,000 – Rp8,000,000 per month",Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74186335?type=standard&ref=search-standalone,74186335,Other
finance manager,Jaycorp Berhad,Medan,,Akuntansi,Manajer & Kontroler Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74088215?type=standout&ref=search-standalone,74088215,Other
gadget account executive (project),Erajaya Group,Jakarta Barat,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-15,,,https://www.jobstreet.co.id/id/job/73783498?type=standard&ref=search-standalone,73783498,Other
brand manager - adult care,PT Softex Indonesia,Tangerang,,Pemasaran & Komunikasi,Manajemen Brand,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74180778?type=standard&ref=search-standalone,74180778,Other
staf operasional,Gujati Group,Sukoharjo,Rp2.700.000 – Rp4.000.000 per month,Administrasi & Dukungan Perkantoran,Manajemen Perkantoran,"Kekeluargaan, Team Work, Team Building",2024-03-17,,,https://www.jobstreet.co.id/id/job/74164528?type=standout&ref=search-standalone,74164528,Other
marketing online,Sabrina,Jatinangor,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74281640?type=standard&ref=search-standalone,74281640,Other
sales supervisor tangerang,PT DSL INDONESIA,Tangerang,"IDR 9,000,000 - 12,600,000",Penjualan,Lainnya,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74179229?type=standard&ref=search-standalone,74179229,Other
it sales,PT Central Mega Perdana,Jakarta Raya,,Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74120522?type=standard&ref=search-standalone,74120522,Other
staff admin,MinQ Seasons Store,Cengkareng,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74151593?type=standard&ref=search-standalone,74151593,Other
pib/peb staff,PT Yusen Logistics Indonesia,Jakarta Utara,,"Manufaktur, Transportasi & Logistik",Pengapalan/Pengurusan Transportasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74057345?type=standard&ref=search-standalone,74057345,Other
front office staff,YAKKUM Emergency Unit/ Disaster Oasis (DIOS),Yogyakarta,,Hospitaliti & Pariwisata,Layanan Kantor Depan & Tamu,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74195213?type=standard&ref=search-standalone,74195213,Other
associate account manager (modern trade) - tegal (pantura),Frisian Flag,Tegal,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73947031?type=standout&ref=search-standalone,73947031,DATA
retail product promotor,PT Propan Raya Industrial Coating Chemicals (HCBP ),Kabupaten Bantul,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74141621?type=standard&ref=search-standalone,74141621,Other
japanese speaker import staff - trading (a-103941),RGF HR Agent Indonesia,Jakarta Selatan,"Rp8,000,000 – Rp10,900,000 per month",Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74088063?type=standard&ref=search-standalone,74088063,Other
marketing manager,PT Lautan Natural Krimerindo,Driyorejo,,Pemasaran & Komunikasi,Manajemen,"We are a growing company with a strong commitment to innovation., We offer a variety of opportunities for career advancement.",2024-03-17,,,https://www.jobstreet.co.id/id/job/74121627?type=standout&ref=search-standalone,74121627,Other
staff marketing,PT Chera Abadi Jaya,Jatinegara,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74063558?type=standard&ref=search-standalone,74063558,Other
admin purchasing ( mandarin speaker),PT RUNXIANG INTERNATIONAL INDONESIA,Jakarta Utara,"Rp8,000,000 – Rp10,000,000 per month","Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris","BPJS TK, THR, Asuransi",2024-03-17,,,https://www.jobstreet.co.id/id/job/74152329?type=standout&ref=search-standalone,74152329,Other
sales and marketing manager for spa,PT SANURIAN,Bali,"Rp5,000,000 – Rp5,500,000 per month",Pemasaran & Komunikasi,Komunikasi Pemasaran,"Sales and Marketing Manager for Spa, Sanur, The Beach Cafe and Spa",2024-03-17,,,https://www.jobstreet.co.id/id/job/74183578?type=standout&ref=search-standalone,74183578,Other
rnd manager,,Jawa Timur,,"Manufaktur, Transportasi & Logistik",Pekerjaan Perakitan & Pemrosesan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74171622?type=standard&ref=search-standalone,74171622,Other
it implementor,PT Mitra Pajakku,Pal Merah,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74280839?type=standard&ref=search-standalone,74280839,Other
cost control supervisor,Taman Safari Indonesia,Cisarua,,Akuntansi,Akuntansi Biaya,"Hospitality, Income & Cost Audit, HACCP",2024-03-17,,,https://www.jobstreet.co.id/id/job/74167527?type=standout&ref=search-standalone,74167527,Other
procurement staff,PT NTT DATA Business Solutions,Tangerang Selatan,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris","multinational company, established company, good work environment",2024-03-17,,,https://www.jobstreet.co.id/id/job/74081892?type=standout&ref=search-standalone,74081892,Other
finance & accounting manager,PT Inlingua International Indonesia,Jakarta Barat,"Rp10,000,000 – Rp13,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,"Collaborative Work Culture, Fairness and Equality, Innovation and Creativity",2024-03-17,,,https://www.jobstreet.co.id/id/job/74184184?type=standout&ref=search-standalone,74184184,Other
secretary / personal assistant,PT Media Mandiri,Jakarta Pusat,"Rp4,000,000 – Rp6,000,000 per month",Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74117227?type=standout&ref=search-standalone,74117227,Other
business consultant (mandarin speaker经营顾问),PT. Zhisheng Pacific Trading,Jakarta Raya,,Penjualan,Lainnya,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74166235?type=standard&ref=search-standalone,74166235,Other
hr manager - manufacture - cikarang (c-104010),RGF HR Agent Indonesia,Cikarang,"Rp18,000,000 – Rp22,000,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74151412?type=standard&ref=search-standalone,74151412,PHP
it infrastructure dept. head,FIBERSTAR (PT. Mega Akses Persada),Jakarta Raya,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74074920?type=standard&ref=search-standalone,74074920,DATA
junior staf akunting / finance,Dana Pensiun BTN,Jakarta Pusat,Rp5.800.000 – Rp7.500.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74212370?type=standard&ref=search-standalone,74212370,Other
business development jr. manager,PT Swadharma Primautama,Jakarta Pusat,,Penjualan,Pengembangan Bisnis Baru,Career Growth,2024-03-16,,,https://www.jobstreet.co.id/id/job/74025950?type=standout&ref=search-standalone,74025950,DATA
rekam medis,PT. Autoimun Care Indonesia Cirebon,Cileunyi,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74165272?type=standard&ref=search-standalone,74165272,Other
accounting spv,PT Graha Sumber Prima Elektronik,Tangerang Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,"A collaborative and supportive work environment, Opportunities for professional growth and advancement in a leading company, Competitive salary and benefits package",2024-03-17,,,https://www.jobstreet.co.id/id/job/74179998?type=standout&ref=search-standalone,74179998,Other
warehouse supervisor (return & refund),Shopee Internasional Indonesia,Bekasi,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74146915?type=standard&ref=search-standalone,74146915,Other
technical specialist (lubricant),"PT AKR Corporindo, Tbk",Balikpapan,,Teknologi Informasi & Komunikasi,Penjualan – Pra & Pasca,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74148915?type=standard&ref=search-standalone,74148915,PHP
technology development manager,Talent Search Recruitment Consultant,Jakarta Selatan,"Rp25,000,000 – Rp30,000,000 per month",Teknologi Informasi & Komunikasi,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74198235?type=standout&ref=search-standalone,74198235,DATA
purchasing staff,PT Vektordaya Mekatrika,Jakarta Pusat,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris","BPJS Ketenagakerjaan & BPJS Kesehatan / Asuransi, Medical Claim, THR & Bonus, Free Parking",2024-03-17,,,https://www.jobstreet.co.id/id/job/74109886?type=standout&ref=search-standalone,74109886,Other
staff accounting (management accounting),PT Global Jet Express,Jakarta Utara,,Akuntansi,Akuntansi Manajemen & Anggaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74058995?type=standard&ref=search-standalone,74058995,Other
pengawas proyek / supervisor proyek,DELTACO,Jakarta Raya,Rp5.000.000 – Rp6.000.000 per month,Konstruksi,Mandor/Supervisor,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74062908?type=standout&ref=search-standalone,74062908,Other
it manager,Supermarket Bahan Bangunan,Jawa Tengah,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74164732?type=standard&ref=search-standalone,74164732,Other
purcashing staff,PT Terra Livindo Harmonis,Jakarta Barat,Rp4.000.000 – Rp5.000.000 per month,Hospitaliti & Pariwisata,Staf Bar & Minuman,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74164616?type=standard&ref=search-standalone,74164616,Other
live stramer,PT CREATOR STAR INDONESIA,Jakarta Barat,Rp5.000.000 – Rp6.000.000 per month,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74026363?type=standout&ref=search-standalone,74026363,Other
admin,MIEDES MBAK CATUR,Jetis,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74157399?type=standard&ref=search-standalone,74157399,Other
staff penjualan/staff penagihan (jabodetabek),PT Achiera Global Utama,Jakarta Pusat,"Rp4,500,000 – Rp5,000,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74180853?type=standard&ref=search-standalone,74180853,DATA
staff penjualan/staff penagihan (jabodetabek),PT Rapid Teknologi Indonesia,Tangerang,"Rp4,500,000 – Rp5,000,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74181010?type=standard&ref=search-standalone,74181010,DATA
"[pool] finance, accounting, tax",PT NTT DATA Business Solutions,Tangerang Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,"multinational company, well established company, good work environment",2024-03-17,,,https://www.jobstreet.co.id/id/job/74082334?type=standout&ref=search-standalone,74082334,Other
"finance, accounting & tax officer",PT Sampurna Makmur Sejahtera,Kabupaten Tangerang,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74164936?type=standard&ref=search-standalone,74164936,Other
web administrator,PT Agrata Teknologi Indonesia,Depok,,Teknologi Informasi & Komunikasi,Pengembangan & Produksi Web,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74062134?type=standard&ref=search-standalone,74062134,Other
sales & marketing development,PT. Nusa Cipta Alumindo,Bekasi,,Pemasaran & Komunikasi,Komunikasi Pemasaran,"Sales - Marketing Management & Communication, Competitive Salary, Incentive Bonus, THR, BPJS Ketenagakerjaan, Career Growth",2024-03-17,,,https://www.jobstreet.co.id/id/job/74186752?type=standout&ref=search-standalone,74186752,DATA
senior process engineer,PT Iconic Talent Indonesia,Jakarta Raya,"Rp30,000,000 – Rp40,000,000 per month",Teknik,Rekayasa Proses,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150547?type=standout&ref=search-standalone,74150547,Other
senior product development,PT STUDILMU TEKNOLOGI GLOBAL,Jakarta Utara,,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi","Lingkungan kerja nyaman, Fasilitas dan benefit, Acara kebersamaan",2024-03-17,,,https://www.jobstreet.co.id/id/job/74118388?type=standout&ref=search-standalone,74118388,DATA
"head, forest resources",ASIA PULP AND PAPER,Serpong,,"Pertanian, Hewan & Konservasi",Agronomi & Jasa Pertanian,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74014824?type=standard&ref=search-standalone,74014824,Other
customer experience specialist,,Jakarta Raya,,Pemasaran & Komunikasi,Penelitian & Analisis Pasar,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74119295?type=standard&ref=search-standalone,74119295,PHP
staff counter,PT Essii International,Jakarta Raya,,Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74087818?type=standard&ref=search-standalone,74087818,Other
sales e-commerce,PT PILAR INTI FITTINDO,Pamulang,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74151392?type=standard&ref=search-standalone,74151392,Other
tax executive (vat staff) - manufacture - jakarta timur (c-102423),RGF HR Agent Indonesia,Jakarta Timur,"Rp5,000,000 – Rp7,000,000 per month",Akuntansi,Perpajakan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74055656?type=standard&ref=search-standalone,74055656,Other
production manager (office chair),PT Hema Medhajaya,Cikupa,,"Manufaktur, Transportasi & Logistik",Manajemen,"Career Growth, BPJS",2024-03-17,,,https://www.jobstreet.co.id/id/job/74122140?type=standout&ref=search-standalone,74122140,Other
"finance, accounting & tax assistant manager",PT Sunthi Sepuri,Jakarta Raya,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74079207?type=standout&ref=search-standalone,74079207,Other
factory manager (furniture),PT Hema Medhajaya,Cikupa,,Desain & Arsitektur,Desain Industri,"Career Growth, Tunjangan Kesehatan, BPJS",2024-03-17,,,https://www.jobstreet.co.id/id/job/74122154?type=standout&ref=search-standalone,74122154,Other
procurement and purchasing,PT Toa Tunas Jaya Indonesia,Pamanukan,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150842?type=standout&ref=search-standalone,74150842,Other
staff r&d,CV FA Chemical,Bandung,,Sains & Teknologi,Teknologi & Keamanan Pangan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74082342?type=standout&ref=search-standalone,74082342,Other
supervisor,PT Permata Anugerah Yalapersada,Gayungan,,"Manufaktur, Transportasi & Logistik",Penjaminan & Kontrol Mutu,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74151381?type=standard&ref=search-standalone,74151381,Other
supervisor qc lab,,Serang,,Sains & Teknologi,Kimia & Fisika,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74182050?type=standard&ref=search-standalone,74182050,Other
hrga supervisor (penempatan rangkasbitung),PT Makmur Artha Sejahtera,Rangkasbitung,,Sumber Daya Manusia & Perekrutan,Hubungan Industri & Pegawai,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74139912?type=standout&ref=search-standalone,74139912,Other
sales manager,BOEDJANG GROUP INDONESIA,Pontianak,Rp6.000.000 – Rp9.000.000 per month,Penjualan,Perwakilan/Konsultan Penjualan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74153004?type=standout&ref=search-standalone,74153004,Other
telecommunication engineer (surabaya - jakarta),PT DIAN GRAHA ELEKTRIKA,Surabaya,Rp10.000.000 – Rp11.000.000 per month,Teknik,Teknik Elektro/Elektronik,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74079273?type=standard&ref=search-standalone,74079273,Other
performance marketing associate,Universitas Horizon Indonesia,Karawang,,Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74049032?type=standout&ref=search-standalone,74049032,PHP
supervisor telemarketing,Racika Falah,Yogyakarta,,Ritel & Produk Konsumen,Manajemen – Departemen/Asisten,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74157488?type=standard&ref=search-standalone,74157488,Other
inside sales specialist,PT IT Group Indonesia,Jakarta Selatan,"Rp6,000,000 – Rp9,000,000 per month",Penjualan,Manajemen Akun & Relasi,"Hybrid Working, Permanent Role, Career Devlopment",2024-03-17,,,https://www.jobstreet.co.id/id/job/74191432?type=standout&ref=search-standalone,74191432,DATA
staf finance,PT IndoExpress Logistics,Jakarta Utara,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74080514?type=standout&ref=search-standalone,74080514,Other
